 ! Swift/XRT lightcurve of trigger: 554620, name: GRB 130427A
 ! Data covers 0.3-10 keV
 ! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00554620
 ! BINMODE: GRB-like (counts)

READ TERR 1 2
! WTSLEW data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
509.933	1.635	-1.692	2.446176992e-08	3.099319777e-09	-5.2004888e-09
512.681	1.257	-1.113	3.453626134e-08	4.48652835e-09	-7.24528404e-09
515.584	1.818	-1.646	2.32374287e-08	3.212153157e-09	-4.85787841e-09
518.878	1.334	-1.477	2.865961436e-08	4.0721951e-09	-5.7626106e-09
522.116	1.592	-1.904	2.302410472e-08	3.167560353e-09	-4.20914061e-09
525.040	0.741	-1.332	1.959171314e-08	2.481853962e-09	-2.546735762e-09
526.229	0.421	-0.448	2.699593353e-08	3.34962117e-09	-3.339647097e-09
527.168	0.553	-0.518	2.182177038e-08	2.714335316e-09	-2.707743678e-09
528.264	0.424	-0.544	2.421666268e-08	3.003192057e-09	-2.995418271e-09
529.230	0.483	-0.542	2.300092291e-08	2.835168646e-09	-2.82742293e-09
530.301	0.465	-0.588	2.231639987e-08	2.759359195e-09	-2.751682451e-09
531.298	0.555	-0.532	2.143911212e-08	2.67542388e-09	-2.668199865e-09
532.430	0.697	-0.577	1.850340315e-08	2.280770908e-09	-2.274569443e-09
533.777	0.552	-0.651	1.954334853e-08	2.416255575e-09	-2.409875264e-09
534.842	0.523	-0.512	2.257158023e-08	2.807797188e-09	-2.800601644e-09
536.008	0.536	-0.643	1.988209729e-08	2.465680429e-09	-2.45924077e-09
537.253	0.655	-0.708	1.711264292e-08	2.135432468e-09	-2.129793606e-09
538.382	0.505	-0.475	2.392542841e-08	2.967329825e-09	-2.959237244e-09
539.395	0.530	-0.507	2.261216945e-08	2.804539063e-09	-2.796770891e-09
540.413	0.489	-0.488	2.401305894e-08	2.978388202e-09	-2.970009708e-09
541.474	0.492	-0.572	2.192069307e-08	2.736537082e-09	-2.728067561e-09
542.543	0.538	-0.578	2.090606683e-08	2.614168323e-09	-2.601808701e-09
543.555	0.549	-0.474	2.292682212e-08	2.855237092e-09	-2.835686738e-09
544.740	0.489	-0.636	2.085898542e-08	2.604738407e-09	-2.579963424e-09
545.771	0.516	-0.543	2.215831364e-08	2.766630127e-09	-2.740670189e-09
546.759	0.562	-0.472	2.2793642e-08	2.833248658e-09	-2.810538023e-09
547.863	0.458	-0.542	2.35639229e-08	2.924657811e-09	-2.905495625e-09
548.816	0.631	-0.496	2.0979919e-08	2.593116625e-09	-2.578912804e-09
550.097	0.738	-0.650	1.697808737e-08	2.102909363e-09	-2.093426114e-09
551.447	0.566	-0.612	1.989157693e-08	2.48257095e-09	-2.467893147e-09
552.613	0.645	-0.601	1.886535778e-08	2.351632019e-09	-2.333358449e-09
553.836	0.574	-0.579	2.020589276e-08	2.547315608e-09	-2.522568695e-09
554.978	0.615	-0.568	1.968935263e-08	2.489158177e-09	-2.458120777e-09
556.088	0.568	-0.494	2.205722956e-08	2.790412635e-09	-2.736790514e-09
557.216	0.475	-0.560	2.288251162e-08	2.865486652e-09	-2.796013001e-09
